Drug1,Drug2,Simcomp_Score,,,
C05349,C06574,0.207289,,,
C05349,C06895,0.207289,,,
C05349,C06827,0.2,,,
C05349,C06923,0.196755,,,
C05349,C07268,0.184211,,,
C05349,C06683,0.182796,,,
C05349,C06883,0.181102,,,
C05349,C07225,0.175373,,,
C05349,C06665,0.173594,,,
C05349,C06662,0.173184,,,
C05349,D07908,0.173184,,,
C05349,C07770,0.168478,,,
C05349,C08110,0.165254,,,
C05349,C07203,0.164179,,,
C05349,C06894,0.16,,,
C05349,C08114,0.158537,,,
C05349,C06881,0.152344,,,
C05349,C06885,0.152344,,,
C05349,C06838,0.142454,,,
C05349,C07315,0.142132,,,
C05349,C01675,0.14094,,,
C05349,C06880,0.134615,,,
C05349,C06889,0.131757,,,
C05349,D02222,0.129363,,,
C05349,D03895,0.126761,,,
C05349,C15820,0.1121,,,
C05349,C06973,0.101243,,,
C05349,C06689,0.093376,,,
C05349,C12013,0.079672,,,
C05349,C06914,0.067961,,,
C05349,C06573,0.059752,,,
C05349,C08092,0.058315,,,
C05349,C15643,0.048825,,,
C05349,C01918,0.045531,,,
C05349,C00397,0.028668,,,
C05349,C06820,0.02526,,,
C05349,C06912,0.021438,,,
C05551,C05551,1,,,
C05551,C06574,0.954023,,,
C05551,C06895,0.847826,,,
C05551,C06827,0.843972,,,
C05551,C07139,0.727575,,,
C05551,C06923,0.711712,,,
C05551,C14034,0.636829,,,
C05551,C06894,0.564246,,,
C05551,C08110,0.518625,,,
C05551,C07770,0.512915,,,
C05551,C08114,0.494565,,,
C05551,C06885,0.469072,,,
C05551,C06883,0.465863,,,
C05551,C07771,0.459627,,,
C05551,D07908,0.45933,,,
C05551,D02222,0.456044,,,
C05551,C06889,0.450893,,,
C05551,C08111,0.435407,,,
C05551,C06881,0.428571,,,
C05551,C06880,0.403941,,,
C05551,C06683,0.39738,,,
C05551,C06662,0.355932,,,
C05551,C06665,0.32948,,,
C05551,C06973,0.324503,,,
C05551,C07225,0.30064,,,
C05551,C08146,0.281407,,,
C05551,D03895,0.267606,,,
C05551,C07663,0.2527,,,
C05551,C07268,0.239193,,,
C05551,C01675,0.237374,,,
C05551,C05349,0.212121,,,
C05551,C12012,0.211073,,,
C05551,C07321,0.2,,,
C05551,C07660,0.2,,,
C05551,C07661,0.195652,,,
C05551,C01965,0.189873,,,
C05551,C08092,0.183879,,,
C05551,C15643,0.174004,,,
C05551,C15820,0.169202,,,
C05551,C06914,0.162281,,,
C05551,C07315,0.15903,,,
C05551,C06688,0.145833,,,
C05551,C06689,0.140203,,,
C05551,D00322,0.134259,,,
C05551,C12013,0.133122,,,
C05551,C06820,0.122278,,,
C05551,C01918,0.102941,,,
C05551,C06573,0.088757,,,
C05551,C06912,0.079235,,,
C05551,C06838,0.076294,,,
C05551,C13768,0.058228,,,
C05551,C00397,0.047957,,,
C05551,C07203,0.027778,,,
C06573,C06573,1,,,
C06573,C06820,0.355721,,,
C06573,C06688,0.273262,,,
C06573,C00397,0.267252,,,
C06573,C06838,0.21608,,,
C06573,C15643,0.211372,,,
C06573,C06912,0.202783,,,
C06573,C08092,0.199461,,,
C06573,C07225,0.199069,,,
C06573,C06973,0.194379,,,
C06573,C06914,0.19197,,,
C06573,C12012,0.158221,,,
C06573,C06689,0.153846,,,
C06573,D03895,0.148325,,,
C06573,D02222,0.147343,,,
C06573,C01918,0.143498,,,
C06573,C12013,0.139163,,,
C06573,C01675,0.138924,,,
C06573,C06662,0.138889,,,
C06573,C15820,0.136364,,,
C06573,D07908,0.134361,,,
C06573,C06665,0.129653,,,
C06573,C06885,0.113611,,,
C06573,C06894,0.103604,,,
C06573,C07770,0.097884,,,
C06573,C07139,0.096849,,,
C06573,C05551,0.088757,,,
C06573,C06574,0.087719,,,
C06573,C06827,0.086705,,,
C06573,C06923,0.081967,,,
C06573,C13768,0.080499,,,
C06573,C14034,0.076142,,,
C06573,C07771,0.068427,,,
C06573,C07661,0.061269,,,
C06573,C07663,0.051525,,,
C06573,C08146,0.048478,,,
C06573,C05349,0.043285,,,
C06573,C06895,0.042601,,,
C06573,C07321,0.042345,,,
C06573,C07660,0.042345,,,
C06573,C08110,0.041667,,,
C06573,C08114,0.040773,,,
C06573,C06880,0.039916,,,
C06573,C06881,0.039916,,,
C06573,C08111,0.038697,,,
C06573,C06683,0.037182,,,
C06573,C06889,0.036822,,,
C06573,C06883,0.034173,,,
C06573,C07203,0.012821,,,
C06574,C06574,1,,,
C06574,C06827,0.95572,,,
C06574,C05551,0.954023,,,
C06574,C06895,0.890909,,,
C06574,C07139,0.709677,,,
C06574,C06923,0.690962,,,
C06574,C14034,0.662404,,,
C06574,C06894,0.583333,,,
C06574,C08110,0.538462,,,
C06574,C08114,0.513514,,,
C06574,C07770,0.494662,,,
C06574,C06885,0.487179,,,
C06574,C06883,0.485944,,,
C06574,D07908,0.479714,,,
C06574,D02222,0.47541,,,
C06574,C06889,0.466667,,,
C06574,C08111,0.452381,,,
C06574,C06881,0.446384,,,
C06574,C07771,0.445783,,,
C06574,C06880,0.418093,,,
C06574,C06683,0.413043,,,
C06574,C06662,0.344262,,,
C06574,C06665,0.320225,,,
C06574,C06973,0.317495,,,
C06574,C07225,0.294363,,,
C06574,C01675,0.28866,,,
C06574,C08146,0.27451,,,
C06574,D03895,0.261468,,,
C06574,C07663,0.247357,,,
C06574,C07268,0.232493,,,
C06574,C15643,0.228448,,,
C06574,C12012,0.224138,,,
C06574,C05349,0.207289,,,
C06574,C07321,0.195652,,,
C06574,C07660,0.195652,,,
C06574,C07661,0.191489,,,
C06574,C01965,0.182266,,,
C06574,C08092,0.179361,,,
C06574,C15820,0.177588,,,
C06574,C06914,0.158798,,,
C06574,C07315,0.154856,,,
C06574,C12013,0.151079,,,
C06574,C06689,0.148649,,,
C06574,C06688,0.143959,,,
C06574,D00322,0.131222,,,
C06574,C06820,0.122112,,,
C06574,C01918,0.101083,,,
C06574,C06573,0.087719,,,
C06574,C06912,0.078167,,,
C06574,C06838,0.075269,,,
C06574,C13768,0.05,,,
C06574,C00397,0.04712,,,
C06574,C07203,0.027027,,,
C06662,C06662,1,,,
C06662,C07770,0.519608,,,
C06662,C07771,0.401515,,,
C06662,C08110,0.365079,,,
C06662,C05551,0.355932,,,
C06662,C06574,0.344262,,,
C06662,C06895,0.344262,,,
C06662,C06827,0.333333,,,
C06662,C07139,0.333333,,,
C06662,C06665,0.323529,,,
C06662,C08114,0.304348,,,
C06662,C06894,0.295775,,,
C06662,C06880,0.287671,,,
C06662,C06881,0.287671,,,
C06662,C06885,0.287671,,,
C06662,C06923,0.287671,,,
C06662,C08111,0.265823,,,
C06662,D02222,0.25731,,,
C06662,D03895,0.25,,,
C06662,C06683,0.241379,,,
C06662,C14034,0.241379,,,
C06662,C06889,0.235955,,,
C06662,C00397,0.234257,,,
C06662,C07321,0.21547,,,
C06662,C07660,0.21547,,,
C06662,C01675,0.214953,,,
C06662,C07661,0.209677,,,
C06662,D07908,0.208531,,,
C06662,C06883,0.2,,,
C06662,C06820,0.194969,,,
C06662,C06973,0.193317,,,
C06662,C15643,0.18863,,,
C06662,C07225,0.167048,,,
C06662,C07268,0.157895,,,
C06662,C06838,0.142384,,,
C06662,C05349,0.141304,,,
C06662,C06573,0.138889,,,
C06662,C12012,0.13852,,,
C06662,C08092,0.12462,,,
C06662,C07663,0.121495,,,
C06662,C06912,0.116505,,,
C06662,C08146,0.111111,,,
C06662,C01918,0.096491,,,
C06662,C06914,0.094148,,,
C06662,C06689,0.082251,,,
C06662,C15820,0.079274,,,
C06662,C06688,0.071429,,,
C06662,C07203,0.071429,,,
C06662,C12013,0.043137,,,
C06665,C06665,1,,,
C06665,D02222,0.655405,,,
C06665,D03895,0.552795,,,
C06665,D07908,0.515957,,,
C06665,C07770,0.345455,,,
C06665,C05551,0.32948,,,
C06665,C06662,0.323529,,,
C06665,C06574,0.320225,,,
C06665,C06827,0.311475,,,
C06665,C07139,0.311475,,,
C06665,C06895,0.305556,,,
C06665,C06880,0.292683,,,
C06665,C08110,0.289474,,,
C06665,C01675,0.285714,,,
C06665,C07771,0.283582,,,
C06665,C08114,0.275,,,
C06665,C06923,0.274038,,,
C06665,C06894,0.268293,,,
C06665,C06881,0.261905,,,
C06665,C06885,0.261905,,,
C06665,C06683,0.25,,,
C06665,C08111,0.244444,,,
C06665,C14034,0.234568,,,
C06665,C06889,0.22,,,
C06665,C06883,0.210526,,,
C06665,C08146,0.192893,,,
C06665,C12012,0.178571,,,
C06665,C08092,0.174863,,,
C06665,C05349,0.173594,,,
C06665,C06914,0.172249,,,
C06665,C07225,0.168033,,,
C06665,C06820,0.166667,,,
C06665,C15643,0.165919,,,
C06665,C07321,0.165501,,,
C06665,C07660,0.165501,,,
C06665,C07661,0.161731,,,
C06665,C07663,0.158798,,,
C06665,C06973,0.142857,,,
C06665,C06573,0.128205,,,
C06665,C00397,0.124744,,,
C06665,C01918,0.122244,,,
C06665,C07203,0.118644,,,
C06665,C07268,0.104816,,,
C06665,C06688,0.099476,,,
C06665,C12013,0.091909,,,
C06665,C06838,0.090116,,,
C06665,C15820,0.084777,,,
C06665,C06912,0.080692,,,
C06665,C06689,0.076417,,,
C06665,C13768,0.051821,,,
C06683,C06683,1,,,
C06683,C08114,0.682927,,,
C06683,C08110,0.662531,,,
C06683,C06885,0.651163,,,
