Drug1,Drug2,Simcomp_Score,,,
C06881,C08092,0.22449,,,
C06881,C06662,0.217617,,,
C06881,D03895,0.217565,,,
C06881,C07663,0.214953,,,
C06881,C07225,0.209964,,,
C06881,C12012,0.193798,,,
C06881,C07268,0.184834,,,
C06881,C06914,0.174168,,,
C06881,C15643,0.166667,,,
C06881,C06973,0.15917,,,
C06881,C05349,0.152344,,,
C06881,C07321,0.146617,,,
C06881,C07660,0.146617,,,
C06881,C08146,0.143984,,,
C06881,C07661,0.143911,,,
C06881,C15820,0.142355,,,
C06881,C12013,0.122754,,,
C06881,C06689,0.121643,,,
C06881,C06820,0.107784,,,
C06881,C01965,0.093117,,,
C06881,C07203,0.089109,,,
C06881,C06838,0.088608,,,
C06881,C06688,0.082005,,,
C06881,D00322,0.081081,,,
C06881,C01918,0.068581,,,
C06881,C07315,0.06383,,,
C06881,C13768,0.058305,,,
C06881,C00397,0.042654,,,
C06881,C06573,0.039916,,,
C06881,C06912,0.036145,,,
C06883,C06883,1,,,
C06883,C14034,0.750503,,,
C06883,C06895,0.532091,,,
C06883,C06827,0.509054,,,
C06883,C06574,0.485944,,,
C06883,C08111,0.474245,,,
C06883,C06683,0.438017,,,
C06883,C05551,0.437008,,,
C06883,C08114,0.42596,,,
C06883,C06880,0.420959,,,
C06883,C06885,0.410935,,,
C06883,C08110,0.410019,,,
C06883,C06889,0.401274,,,
C06883,C06894,0.39576,,,
C06883,C06881,0.381693,,,
C06883,C06923,0.360544,,,
C06883,C07139,0.348921,,,
C06883,D07908,0.286371,,,
C06883,C07771,0.282051,,,
C06883,C07321,0.260229,,,
C06883,C07660,0.260229,,,
C06883,C08146,0.256367,,,
C06883,C07663,0.25387,,,
C06883,C06914,0.247947,,,
C06883,C12012,0.246649,,,
C06883,C06973,0.246246,,,
C06883,C07770,0.237911,,,
C06883,C07661,0.232227,,,
C06883,C07225,0.229868,,,
C06883,C15820,0.227923,,,
C06883,D02222,0.219904,,,
C06883,C05349,0.219512,,,
C06883,C06665,0.210526,,,
C06883,C06689,0.209801,,,
C06883,C01675,0.20603,,,
C06883,C06662,0.2,,,
C06883,D00322,0.196013,,,
C06883,C08092,0.186441,,,
C06883,C06688,0.185897,,,
C06883,C07268,0.170213,,,
C06883,D03895,0.164902,,,
C06883,C07315,0.134021,,,
C06883,C15643,0.128571,,,
C06883,C12013,0.126952,,,
C06883,C01965,0.104101,,,
C06883,C01918,0.093544,,,
C06883,C06820,0.089588,,,
C06883,C06838,0.086262,,,
C06883,C07203,0.069519,,,
C06883,C13768,0.065197,,,
C06883,C06912,0.040816,,,
C06883,C06573,0.034173,,,
C06883,C00397,0.034048,,,
C06885,C06885,1,,,
C06885,C08114,0.91358,,,
C06885,C08110,0.801802,,,
C06885,C06881,0.763085,,,
C06885,C08111,0.717949,,,
C06885,C06894,0.702703,,,
C06885,C06683,0.651163,,,
C06885,C06889,0.632653,,,
C06885,C06895,0.546667,,,
C06885,C06880,0.534772,,,
C06885,C07139,0.51671,,,
C06885,C06574,0.487179,,,
C06885,C06827,0.475,,,
C06885,C05551,0.469072,,,
C06885,C06883,0.410935,,,
C06885,C06923,0.39738,,,
C06885,D02222,0.392111,,,
C06885,C14034,0.365385,,,
C06885,C07770,0.344538,,,
C06885,C07771,0.298077,,,
C06885,D07908,0.295238,,,
C06885,C08092,0.288783,,,
C06885,C06662,0.287671,,,
C06885,C06665,0.261905,,,
C06885,C07663,0.219512,,,
C06885,D03895,0.217565,,,
C06885,C07225,0.209964,,,
C06885,C12012,0.193798,,,
C06885,C06688,0.193467,,,
C06885,C07268,0.184834,,,
C06885,C01675,0.166667,,,
C06885,C06914,0.160542,,,
C06885,C06973,0.15917,,,
C06885,C05349,0.152344,,,
C06885,C15643,0.149635,,,
C06885,C07661,0.148148,,,
C06885,C07321,0.146617,,,
C06885,C07660,0.146617,,,
C06885,C08146,0.143984,,,
C06885,C15820,0.13438,,,
C06885,C01965,0.115702,,,
C06885,C06689,0.1146,,,
C06885,C06573,0.113611,,,
C06885,C12013,0.109467,,,
C06885,C06820,0.107784,,,
C06885,C06838,0.103979,,,
C06885,C07203,0.089109,,,
C06885,D00322,0.081081,,,
C06885,C01918,0.068581,,,
C06885,C07315,0.06383,,,
C06885,C13768,0.058305,,,
C06885,C06912,0.04878,,,
C06885,C00397,0.042654,,,
C06889,C06889,1,,,
C06889,C08111,0.77305,,,
C06889,C06881,0.743341,,,
C06889,C08114,0.662708,,,
C06889,C08110,0.646489,,,
C06889,C06885,0.632653,,,
C06889,C06895,0.552941,,,
C06889,C06683,0.545988,,,
C06889,C06894,0.507431,,,
C06889,C06574,0.5,,,
C06889,C07139,0.495536,,,
C06889,C06827,0.485588,,,
C06889,C05551,0.484018,,,
C06889,C06923,0.466395,,,
C06889,C06880,0.425743,,,
C06889,C06883,0.423948,,,
C06889,C14034,0.385965,,,
C06889,D07908,0.366906,,,
C06889,D02222,0.330724,,,
C06889,C07771,0.327623,,,
C06889,C07770,0.281465,,,
C06889,C06662,0.235955,,,
C06889,C01675,0.226054,,,
C06889,C06973,0.221498,,,
C06889,C06665,0.22,,,
C06889,C12012,0.192146,,,
C06889,C08092,0.190019,,,
C06889,D03895,0.187608,,,
C06889,C07663,0.186992,,,
C06889,C07225,0.183801,,,
C06889,C12013,0.159208,,,
C06889,C07268,0.155378,,,
C06889,C15820,0.152882,,,
C06889,C06914,0.139028,,,
C06889,C07315,0.135029,,,
C06889,C06689,0.132075,,,
C06889,C05349,0.131757,,,
C06889,C15643,0.130573,,,
C06889,C08146,0.130137,,,
C06889,C07321,0.127451,,,
C06889,C07660,0.127451,,,
C06889,C07661,0.125402,,,
C06889,C06820,0.096257,,,
C06889,D00322,0.09029,,,
C06889,C06838,0.081703,,,
C06889,C01965,0.080139,,,
C06889,C06688,0.075157,,,
C06889,C07203,0.07438,,,
C06889,C01918,0.06082,,,
C06889,C13768,0.056106,,,
C06889,C00397,0.037868,,,
C06889,C06573,0.036822,,,
C06889,C06912,0.032967,,,
C06894,C06894,1,,,
C06894,C06885,0.702703,,,
C06894,C08114,0.675824,,,
C06894,C06895,0.652174,,,
C06894,C06827,0.60221,,,
C06894,C06574,0.583333,,,
C06894,C08110,0.581769,,,
C06894,C05551,0.564246,,,
C06894,C06881,0.563275,,,
C06894,C08111,0.534884,,,
C06894,C06889,0.507431,,,
C06894,C07139,0.494845,,,
C06894,C06683,0.489362,,,
C06894,C06923,0.438356,,,
C06894,C14034,0.428571,,,
C06894,C06883,0.420863,,,
C06894,C06880,0.418919,,,
C06894,D02222,0.398104,,,
C06894,C07770,0.354467,,,
C06894,D07908,0.353535,,,
C06894,C07771,0.338384,,,
C06894,C07268,0.303191,,,
C06894,C08092,0.295844,,,
C06894,C06662,0.295775,,,
C06894,C06665,0.268293,,,
C06894,C07663,0.267327,,,
C06894,C07225,0.240741,,,
C06894,C06973,0.22449,,,
C06894,D03895,0.221996,,,
C06894,C12012,0.217949,,,
C06894,C06688,0.209781,,,
C06894,C07661,0.191406,,,
C06894,C07321,0.185771,,,
C06894,C07660,0.185771,,,
C06894,C01675,0.170213,,,
C06894,C15820,0.165312,,,
C06894,C06914,0.163708,,,
C06894,C05349,0.16,,,
C06894,C08146,0.153846,,,
C06894,C15643,0.152416,,,
C06894,C06689,0.1417,,,
C06894,C12013,0.140888,,,
C06894,C01965,0.134904,,,
C06894,D00322,0.124744,,,
C06894,C06820,0.109422,,,
C06894,C06838,0.105332,,,
C06894,C06573,0.103604,,,
C06894,C07315,0.084071,,,
C06894,C01918,0.069692,,,
C06894,C13768,0.058592,,,
C06894,C06912,0.049383,,,
C06894,C00397,0.043339,,,
C06894,C07203,0.02381,,,
C06895,C06895,1,,,
C06895,C06574,0.890909,,,
C06895,C06827,0.853147,,,
C06895,C05551,0.847826,,,
C06895,C06894,0.652174,,,
C06895,C07139,0.630769,,,
C06895,C06923,0.620112,,,
C06895,C08110,0.607143,,,
C06895,C14034,0.600985,,,
C06895,C08114,0.577465,,,
C06895,C06889,0.552941,,,
C06895,C06885,0.546667,,,
C06895,C06881,0.542553,,,
C06895,C06883,0.532091,,,
C06895,C08111,0.506173,,,
C06895,D07908,0.497585,,,
C06895,C06880,0.472081,,,
C06895,C06683,0.460674,,,
C06895,D02222,0.455526,,,
C06895,C07770,0.418919,,,
C06895,C07771,0.383285,,,
C06895,C06662,0.344262,,,
C06895,C06665,0.305556,,,
C06895,C06973,0.295117,,,
C06895,C07225,0.283644,,,
C06895,C12012,0.279279,,,
C06895,C07663,0.274298,,,
C06895,C08092,0.263158,,,
C06895,C08146,0.256039,,,
C06895,D03895,0.247166,,,
C06895,C07268,0.232493,,,
C06895,C05349,0.207289,,,
C06895,C07321,0.195652,,,
C06895,C07660,0.195652,,,
C06895,C07661,0.191489,,,
C06895,C15643,0.189979,,,
C06895,C15820,0.187739,,,
C06895,C01965,0.182266,,,
C06895,C06914,0.179039,,,
C06895,C01675,0.173709,,,
C06895,C07315,0.154856,,,
C06895,C06689,0.151566,,,
C06895,D00322,0.131222,,,
C06895,C06688,0.129442,,,
C06895,C06820,0.122112,,,
C06895,C06838,0.098901,,,
C06895,C01918,0.075838,,,
C06895,C12013,0.066667,,,
C06895,C13768,0.061678,,,
C06895,C00397,0.04712,,,
C06895,C06573,0.042601,,,
C06895,C06912,0.038961,,,
C06895,C07203,0.027027,,,
C06912,C06912,1,,,
C06912,C06838,0.884817,,,
C06912,C00397,0.337386,,,
C06912,C06820,0.322314,,,
C06912,C01918,0.318519,,,
C06912,C06973,0.306902,,,
C06912,C15643,0.228324,,,
C06912,C06689,0.208548,,,
C06912,D02222,0.19883,,,
C06912,C12012,0.175772,,,
C06912,C06914,0.171429,,,
C06912,C06573,0.165703,,,
C06912,C08092,0.155015,,,
C06912,C01965,0.153263,,,
C06912,C07225,0.147959,,,
C06912,D07908,0.147959,,,
C06912,D03895,0.146409,,,
C06912,C08114,0.121495,,,
C06912,C07770,0.104101,,,
C06912,C07661,0.103811,,,
C06912,C07663,0.101266,,,
C06912,C07771,0.091954,,,
C06912,C06688,0.091418,,,
C06912,C06662,0.088328,,,
C06912,C06665,0.080692,,,
C06912,C05551,0.079235,,,
C06912,C01675,0.078838,,,
C06912,C06574,0.078167,,,
C06912,C06827,0.077128,,,
C06912,C07139,0.077128,,,
C06912,C15820,0.074205,,,
C06912,C06923,0.072319,,,
C06912,C14034,0.068966,,,
C06912,C08146,0.06383,,,
C06912,C06894,0.049383,,,
C06912,C06885,0.04878,,,
C06912,C08111,0.047059,,,
C06912,C06683,0.044944,,,
C06912,C06883,0.040816,,,
C06912,C06895,0.038961,,,
C06912,C08110,0.037975,,,
C06912,C06880,0.036145,,,
C06912,C06881,0.036145,,,
C06912,C12013,0.033033,,,
C06912,C06889,0.032967,,,
C06912,C07321,0.024691,,,
C06912,C07660,0.024691,,,
C06912,C05349,0.021438,,,
C06912,C07268,0.014085,,,
C06914,C06914,1,,,
C06914,C08092,0.340483,,,
C06914,C06820,0.333333,,,
C06914,C07321,0.316397,,,
C06914,C07660,0.316397,,,
C06914,D02222,0.311475,,,
C06914,C00397,0.297071,,,
C06914,C06973,0.290984,,,
C06914,D03895,0.272321,,,
C06914,D07908,0.264822,,,
C06914,C01675,0.262136,,,
C06914,C06895,0.235698,,,
C06914,C01918,0.22093,,,
C06914,C12012,0.220736,,,
C06914,C06838,0.200586,,,
C06914,C06573,0.19197,,,
C06914,C06894,0.189516,,,
C06914,C14034,0.179577,,,
C06914,C06665,0.17506,,,
C06914,C06883,0.167435,,,
C06914,C05551,0.162281,,,
C06914,C08110,0.161826,,,
C06914,C15643,0.159136,,,
C06914,C06574,0.158798,,,
C06914,C06912,0.156559,,,
C06914,C06827,0.155462,,,
C06914,C07139,0.155462,,,
C06914,C08114,0.155378,,,
C06914,C07663,0.153119,,,
C06914,C06689,0.150959,,,
C06914,C06881,0.149425,,,
C06914,C06885,0.149425,,,
C06914,C08146,0.141649,,,
C06914,C08111,0.141304,,,
C06914,C06923,0.140684,,,
C06914,C06688,0.1375,,,
C06914,C06880,0.134216,,,
C06914,C06683,0.131757,,,
C06914,C07225,0.130742,,,
C06914,C06889,0.129568,,,
C06914,C12013,0.097744,,,
C06914,C15820,0.0947,,,
C06914,C06662,0.094148,,,
C06914,C07770,0.091811,,,
C06914,C07771,0.079914,,,
C06914,C05349,0.067961,,,
C06914,C13768,0.064792,,,
C06914,C07661,0.06422,,,
C06914,C07268,0.059908,,,
C06914,C07203,0.025641,,,
C06923,C06923,1,,,
C06923,C05551,0.711712,,,
C06923,C06574,0.690962,,,
C06923,C06895,0.620112,,,
C06923,C07139,0.607629,,,
C06923,C06827,0.586022,,,
C06923,C14034,0.469979,,,
C06923,C06889,0.466395,,,
C06923,C06894,0.438356,,,
C06923,D07908,0.437632,,,
C06923,C08110,0.431981,,,
C06923,C08114,0.415525,,,
C06923,C07770,0.407625,,,
C06923,C06880,0.39738,,,
C06923,C06885,0.39738,,,
C06923,C06881,0.394336,,,
C06923,C07771,0.377551,,,
C06923,C08111,0.372951,,,
C06923,C06683,0.370656,,,
C06923,C06883,0.360544,,,
C06923,D02222,0.357466,,,
C06923,C06973,0.324111,,,
C06923,C06662,0.287671,,,
C06923,C06665,0.274038,,,
C06923,C07225,0.273408,,,
C06923,C08146,0.266376,,,
C06923,C07315,0.246883,,,
C06923,C07663,0.238095,,,
C06923,D03895,0.229839,,,
C06923,C15820,0.221805,,,
C06923,C12012,0.206897,,,
C06923,C07268,0.201923,,,
C06923,C01675,0.201717,,,
C06923,C07661,0.20155,,,
C06923,C05349,0.196755,,,
C06923,C06689,0.187291,,,
C06923,C15643,0.184211,,,
C06923,D00322,0.178947,,,
C06923,C01965,0.176471,,,
C06923,C07321,0.168582,,,
C06923,C07660,0.168582,,,
C06923,C06688,0.162791,,,
C06923,C08092,0.153846,,,
C06923,C06914,0.140684,,,
C06923,C12013,0.114413,,,
C06923,C06820,0.109445,,,
C06923,C01918,0.091205,,,
C06923,C06573,0.081967,,,
C06923,C06912,0.072319,,,
C06923,C06838,0.069652,,,
C06923,C07203,0.067961,,,
C06923,C13768,0.043478,,,
C06923,C00397,0.042654,,,
C06973,C06973,1,,,
C06973,C07225,0.678487,,,
C06973,C12012,0.55642,,,
C06973,D07908,0.362764,,,
C06973,C05551,0.324503,,,
C06973,C06923,0.324111,,,
C06973,C06574,0.317495,,,
C06973,C06895,0.295117,,,
C06973,C06827,0.280992,,,
C06973,C07139,0.27572,,,
C06973,C15643,0.26195,,,
C06973,C14034,0.245791,,,
C06973,C06894,0.22449,,,
C06973,C06889,0.221498,,,
C06973,C01918,0.219512,,,
C06973,D02222,0.218569,,,
C06973,C06838,0.212534,,,
C06973,C06914,0.209213,,,
C06973,C06883,0.208151,,,
C06973,C06573,0.194379,,,
C06973,C06688,0.193666,,,
C06973,C06662,0.193317,,,
C06973,C06912,0.183511,,,
C06973,C07771,0.180124,,,
C06973,C07663,0.17851,,,
C06973,C07770,0.177829,,,
C06973,C06683,0.174603,,,
C06973,C08110,0.171004,,,
C06973,C06689,0.166533,,,
C06973,C08114,0.164875,,,
C06973,C08146,0.161905,,,
C06973,C08092,0.160896,,,
C06973,C06881,0.15917,,,
C06973,C06885,0.15917,,,
C06973,D03895,0.153153,,,
C06973,C08111,0.151316,,,
C06973,C06665,0.142857,,,
C06973,C07268,0.139785,,,
C06973,C06880,0.137521,,,
C06973,C06820,0.137371,,,
C06973,C01965,0.135458,,,
C06973,C15820,0.131915,,,
C06973,C07321,0.118881,,,
C06973,C07660,0.118881,,,
C06973,C07661,0.116838,,,
C06973,D00322,0.109023,,,
C06973,C00397,0.107544,,,
C06973,C05349,0.101243,,,
C06973,C07315,0.095041,,,
C06973,C12013,0.091298,,,
C06973,C01675,0.082569,,,
C06973,C13768,0.024801,,,
C06973,C07203,0.021739,,,
C07139,C07139,1,,,
C07139,C05551,0.727575,,,
C07139,C06574,0.709677,,,
C07139,C06827,0.6875,,,
C07139,C06895,0.630769,,,
C07139,C06923,0.607629,,,
C07139,C06881,0.594595,,,
C07139,C08110,0.571429,,,
C07139,C08114,0.544715,,,
C07139,C06885,0.51671,,,
C07139,C14034,0.5,,,
C07139,C06889,0.495536,,,
C07139,C06894,0.494845,,,
C07139,C08111,0.479714,,,
C07139,C07770,0.477663,,,
C07139,D07908,0.441648,,,
C07139,C06683,0.437908,,,
C07139,C07771,0.432749,,,
C07139,C06880,0.381733,,,
C07139,D02222,0.375,,,
C07139,C06883,0.373626,,,
C07139,C06662,0.333333,,,
C07139,C01675,0.321244,,,
C07139,C06665,0.311475,,,
C07139,C06973,0.27572,,,
C07139,D03895,0.255605,,,
C07139,C07225,0.211538,,,
C07139,C07663,0.195219,,,
C07139,C08146,0.188341,,,
C07139,C15643,0.183673,,,
C07139,C08092,0.17506,,,
C07139,C07268,0.171875,,,
C07139,C15820,0.163873,,,
C07139,C06914,0.155462,,,
C07139,C12012,0.148325,,,
C07139,C06689,0.136929,,,
C07139,C12013,0.131928,,,
C07139,C05349,0.129707,,,
C07139,C07321,0.124498,,,
C07139,C07660,0.124498,,,
C07139,C07661,0.122047,,,
C07139,C06820,0.105769,,,
C07139,C01965,0.103604,,,
C07139,C01918,0.099291,,,
C07139,C06688,0.097561,,,
C07139,C06573,0.096849,,,
C07139,C06912,0.077128,,,
C07139,C06838,0.074271,,,
C07139,C07315,0.071429,,,
C07139,D00322,0.0625,,,
C07139,C00397,0.046312,,,
C07139,C13768,0.040947,,,
C07139,C07203,0.026316,,,
C07203,C07203,1,,,
C07203,C08146,0.194969,,,
C07203,D00322,0.192053,,,
C07203,C06880,0.167109,,,
C07203,C07771,0.164384,,,
C07203,C05349,0.164179,,,
C07203,C01965,0.16041,,,
C07203,C07268,0.153846,,,
C07203,C07315,0.136364,,,
C07203,C07661,0.122995,,,
C07203,C07321,0.120219,,,
C07203,C07660,0.120219,,,
C07203,C06665,0.118644,,,
C07203,C07663,0.113861,,,
C07203,C06683,0.101512,,,
C07203,C08110,0.098901,,,
C07203,C08114,0.09375,,,
C07203,C06881,0.089109,,,
C07203,C06885,0.089109,,,
C07203,C08111,0.082949,,,
C07203,C07225,0.078652,,,
C07203,D07908,0.078652,,,
C07203,C06889,0.07438,,,
C07203,C06662,0.071429,,,
C07203,C06883,0.069519,,,
C07203,C06923,0.067961,,,
C07203,C12012,0.065421,,,
C07203,C15643,0.043689,,,
C07203,C00397,0.043084,,,
C07203,C12013,0.035857,,,
C07203,C06820,0.034483,,,
C07203,C01675,0.028571,,,
C07203,C05551,0.027778,,,
C07203,C06574,0.027027,,,
C07203,C06895,0.027027,,,
C07203,C06827,0.026316,,,
C07203,C07139,0.026316,,,
C07203,C06914,0.025641,,,
C07203,C06689,0.024349,,,
C07203,C06894,0.02381,,,
C07203,C06973,0.021739,,,
C07203,C14034,0.02,,,
C07203,C06688,0.013514,,,
C07203,C06573,0.012821,,,
C07225,C07225,1,,,
C07225,C06973,0.853786,,,
C07225,C12012,0.796009,,,
C07225,D07908,0.33829,,,
C07225,C06895,0.313559,,,
C07225,C15643,0.311155,,,
C07225,C14034,0.269036,,,
C07225,C06827,0.267606,,,
C07225,D02222,0.267327,,,
C07225,C06688,0.264368,,,
C07225,C06838,0.251739,,,
C07225,C05551,0.25,,,
C07225,C06574,0.24498,,,
C07225,C07139,0.242604,,,
C07225,C06894,0.240741,,,
C07225,D03895,0.240458,,,
C07225,C07663,0.229947,,,
C07225,C06883,0.229868,,,
C07225,C08110,0.226054,,,
C07225,C06923,0.220826,,,
C07225,C08146,0.218075,,,
C07225,C08114,0.217712,,,
C07225,C06881,0.209964,,,
C07225,C06885,0.209964,,,
C07225,C06683,0.205788,,,
C07225,C08111,0.199324,,,
C07225,C06573,0.199069,,,
C07225,C01918,0.187291,,,
C07225,C06889,0.183801,,,
C07225,C07321,0.181818,,,
C07225,C07660,0.181818,,,
C07225,C07268,0.181619,,,
C07225,C08092,0.176471,,,
C07225,C05349,0.168831,,,
C07225,C06665,0.168033,,,
C07225,C06662,0.167048,,,
C07225,C06880,0.154499,,,
C07225,C06820,0.148748,,,
C07225,C06912,0.147959,,,
C07225,C07661,0.141869,,,
C07225,C15820,0.138488,,,
C07225,C06689,0.131783,,,
C07225,C06914,0.130742,,,
C07225,C01965,0.126214,,,
C07225,C07771,0.121857,,,
C07225,C12013,0.121631,,,
C07225,C07315,0.120332,,,
C07225,C07770,0.11349,,,
C07225,C01675,0.088929,,,
C07225,D00322,0.086957,,,
C07225,C07203,0.078652,,,
C07225,C00397,0.071975,,,
C07225,C13768,0.024686,,,
C07268,C07268,1,,,
C07268,C06894,0.303191,,,
C07268,C06827,0.260504,,,
C07268,C05551,0.239193,,,
C07268,C06574,0.232493,,,
C07268,C06895,0.232493,,,
C07268,C08110,0.204188,,,
C07268,C06923,0.201923,,,
C07268,C07321,0.19898,,,
C07268,C07660,0.19898,,,
C07268,C08146,0.195652,,,
C07268,C08114,0.19403,,,
C07268,C06881,0.184834,,,
C07268,C06885,0.184834,,,
C07268,C05349,0.184211,,,
C07268,C07225,0.181619,,,
C07268,D07908,0.179039,,,
C07268,C14034,0.177686,,,
C07268,C08111,0.172566,,,
C07268,C07139,0.171875,,,
C07268,C07661,0.170732,,,
C07268,C06883,0.170213,,,
C07268,C06683,0.158537,,,
C07268,C06889,0.155378,,,
C07268,C07203,0.153846,,,
C07268,C12012,0.151737,,,
C07268,C06973,0.139785,,,
C07268,C07663,0.133333,,,
C07268,C07771,0.133144,,,
C07268,C06688,0.132867,,,
C07268,C06662,0.12628,,,
C07268,C07770,0.122112,,,
C07268,C07315,0.118012,,,
C07268,C06665,0.104816,,,
C07268,C06880,0.101322,,,
C07268,D00322,0.099476,,,
C07268,C15820,0.090226,,,
C07268,D02222,0.08747,,,
C07268,C01965,0.086957,,,
C07268,D03895,0.08545,,,
C07268,C06689,0.081081,,,
C07268,C06914,0.059908,,,
C07268,C06838,0.037464,,,
C07268,C12013,0.034221,,,
C07268,C15643,0.020833,,,
C07268,C06912,0.014085,,,
C07315,C07315,1,,,
C07315,C01965,0.269841,,,
C07315,C06923,0.246883,,,
C07315,C08146,0.182796,,,
C07315,C05551,0.15903,,,
C07315,C06574,0.154856,,,
C07315,C06895,0.154856,,,
C07315,D03895,0.154791,,,
C07315,C06827,0.153846,,,
C07315,C07321,0.149144,,,
C07315,C07660,0.149144,,,
C07315,C05349,0.142132,,,
C07315,C07203,0.136364,,,
C07315,C06883,0.134021,,,
C07315,D00322,0.129032,,,
C07315,C07268,0.118012,,,
C07315,C14034,0.11546,,,
C07315,C06889,0.113244,,,
C07315,D07908,0.102041,,,
C07315,C07225,0.095335,,,
C07315,C06973,0.095041,,,
C07315,C15820,0.090226,,,
C07315,C06894,0.084071,,,
C07315,C06689,0.081081,,,
C07315,C07661,0.078652,,,
C07315,C07663,0.073684,,,
C07315,C07139,0.071429,,,
C07315,C08110,0.069767,,,
C07315,C08114,0.066667,,,
C07315,C12012,0.064189,,,
C07315,C06881,0.06383,,,
C07315,C06885,0.06383,,,
C07315,C08111,0.06,,,
C07315,C06683,0.055556,,,
C07315,C12013,0.051005,,,
C07315,C06880,0.041667,,,
C07315,C06688,0.037132,,,
C07315,C07771,0.025641,,,
C07321,C07321,1,,,
C07321,C07660,1,,,
C07321,C05349,0.848185,,,
C07321,C07661,0.820988,,,
C07321,C07663,0.741573,,,
C07321,C08146,0.375,,,
C07321,C06883,0.254072,,,
C07321,C14034,0.247706,,,
C07321,C08111,0.24031,,,
C07321,C06688,0.233244,,,
C07321,C01965,0.220096,,,
C07321,D00322,0.210046,,,
C07321,C07268,0.205128,,,
C07321,C05551,0.2,,,
C07321,C06574,0.195652,,,
C07321,C06895,0.195652,,,
C07321,C06894,0.190476,,,
C07321,C07225,0.181818,,,
C07321,C07771,0.180556,,,
C07321,C07315,0.17207,,,
C07321,C06923,0.168582,,,
C07321,C06665,0.165501,,,
C07321,C06662,0.164021,,,
C07321,C07770,0.159794,,,
C07321,C08110,0.158537,,,
C07321,C06573,0.153846,,,
C07321,C08114,0.152344,,,
C07321,D07908,0.14841,,,
C07321,C06880,0.146617,,,
C07321,C06881,0.146617,,,
C07321,C06885,0.146617,,,
C07321,C06827,0.129032,,,
C07321,C06889,0.127451,,,
C07321,C07139,0.124498,,,
C07321,C07203,0.120219,,,
C07321,C06973,0.118881,,,
C07321,C12012,0.117825,,,
C07321,C06683,0.114754,,,
C07321,C01675,0.111111,,,
C07321,C15820,0.11014,,,
C07321,C01918,0.109185,,,
C07321,D02222,0.106796,,,
C07321,C06820,0.105919,,,
C07321,D03895,0.104762,,,
C07321,C06689,0.091909,,,
C07321,C12013,0.075347,,,
C07321,C06838,0.07513,,,
C07321,C06914,0.069418,,,
C07321,C08092,0.055901,,,
C07321,C15643,0.052632,,,
C07321,C00397,0.044776,,,
C07321,C06912,0.024691,,,
C07660,C07321,1,,,
C07660,C07660,1,,,
C07660,C05349,0.848185,,,
C07660,C07661,0.820988,,,
C07660,C07663,0.741573,,,
C07660,C08146,0.375,,,
C07660,C06883,0.254072,,,
C07660,C14034,0.247706,,,
C07660,C08111,0.24031,,,
C07660,C06688,0.233244,,,
C07660,C01965,0.220096,,,
C07660,D00322,0.210046,,,
C07660,C07268,0.205128,,,
C07660,C05551,0.2,,,
C07660,C06574,0.195652,,,
C07660,C06895,0.195652,,,
C07660,C06894,0.190476,,,
C07660,C07225,0.181818,,,
C07660,C07771,0.180556,,,
C07660,C07315,0.17207,,,
C07660,C06923,0.168582,,,
C07660,C06665,0.165501,,,
C07660,C06662,0.164021,,,
C07660,C07770,0.159794,,,
C07660,C08110,0.158537,,,
C07660,C06573,0.153846,,,
C07660,C08114,0.152344,,,
C07660,D07908,0.14841,,,
C07660,C06880,0.146617,,,
C07660,C06881,0.146617,,,
C07660,C06885,0.146617,,,
C07660,C06827,0.129032,,,
C07660,C06889,0.127451,,,
C07660,C07139,0.124498,,,
C07660,C07203,0.120219,,,
C07660,C06973,0.118881,,,
C07660,C12012,0.117825,,,
C07660,C06683,0.114754,,,
C07660,C01675,0.111111,,,
C07660,C15820,0.11014,,,
C07660,C01918,0.109185,,,
C07660,D02222,0.106796,,,
C07660,C06820,0.105919,,,
C07660,D03895,0.104762,,,
C07660,C06689,0.091909,,,
C07660,C12013,0.075347,,,
C07660,C06838,0.07513,,,
C07660,C06914,0.069418,,,
C07660,C08092,0.053719,,,
C07660,C15643,0.052632,,,
C07660,C00397,0.044776,,,
C07660,C06912,0.024691,,,
C07661,C07661,1,,,
C07661,C05349,0.887417,,,
C07661,C07663,0.847507,,,
C07661,C07321,0.820988,,,
C07661,C07660,0.820988,,,
C07661,C08146,0.365854,,,
C07661,C14034,0.266055,,,
C07661,C01965,0.253012,,,
C07661,C06883,0.252006,,,
C07661,C06688,0.226913,,,
C07661,C01675,0.218962,,,
C07661,C06683,0.210526,,,
C07661,C06662,0.209677,,,
C07661,C07771,0.206497,,,
C07661,D07908,0.202186,,,
C07661,C06923,0.20155,,,
C07661,C05551,0.195652,,,
C07661,C06574,0.191489,,,
C07661,C06895,0.191489,,,
C07661,C06894,0.191406,,,
C07661,D00322,0.186813,,,
C07661,C08111,0.186131,,,
C07661,C07770,0.179487,,,
C07661,C07268,0.170732,,,
C07661,C06838,0.157025,,,
C07661,C08110,0.155378,,,
C07661,C08114,0.153846,,,
C07661,C15820,0.153153,,,
C07661,C06885,0.148148,,,
C07661,D02222,0.143984,,,
C07661,C06881,0.143911,,,
C07661,C07225,0.141869,,,
C07661,D03895,0.141199,,,
C07661,C06689,0.140065,,,
C07661,C12012,0.136364,,,
C07661,C06912,0.127517,,,
C07661,C06827,0.126482,,,
C07661,C06889,0.125402,,,
C07661,C07203,0.122995,,,
C07661,C07139,0.122047,,,
